"SGU_kartiert"	"SGUcode"	"TRI_hr_ws31"	"vectorruggedness_hr_ws57"	"preds"
"151"	"SSR"	"12"	5.74209963890814	0.0135438688026081	"TG"
"152"	"SB"	"12"	26.8867289789261	0.0525182617880211	"SB"
"153"	"TG"	"12"	8.49779847360426	0.0147362528989838	"TG"
"154"	"CBD"	"12"	2.0066733514109	0.00519571281174203	"TG"
"155"	"TG"	"12"	15.5322520809789	0.104388506580666	"TG"
"156"	"TG"	"12"	21.3241511006509	0.0930481737916971	"TG"
"157"	"SB"	"12"	36.9158653520769	0.0956673467816282	"SB"
"158"	"SD"	"12"	24.9095672638186	0.109596505732412	"SD"
"159"	"GLD"	"12"	22.0886835436667	0.140480572529704	"GLD"
"160"	"TG"	"12"	4.56466224116664	0.0186123035785345	"TG"
"161"	"GLD"	"12"	7.65961427073325	0.0222806427610548	"TG"
"162"	"MxD"	"12"	14.9676818847656	0.077635339468143	"TG"
"163"	"TG"	"12"	23.4613154395934	0.0368501100997077	"TG"
"164"	"TG"	"12"	15.6284323661558	0.0642717089979014	"TG"
"165"	"TG"	"12"	18.4996166383066	0.0930343477971419	"TG"
"166"	"SB"	"12"	9.09707046324207	0.0574097055609768	"SB"
"167"	"TG"	"12"	6.98892833340553	0.0329733663662839	"TG"
"168"	"TG"	"12"	16.1063462072803	0.0302960956948949	"TG"
"169"	"SB"	"12"	33.5565073874689	0.0920385931759857	"SB"
"170"	"TG"	"12"	8.46253899605044	0.00910400078538998	"TG"
"171"	"SB"	"12"	12.0903676248366	0.0620325041824764	"SB"
"172"	"TG"	"12"	2.89504748006021	0.00853851342080958	"TG"
"173"	"TG"	"12"	4.41803827593403	0.016825762831867	"TG"
"174"	"TG"	"12"	1.44787668412732	0.00316717299898439	"TG"
"175"	"TG"	"13"	21.4492706791047	0.00794056711153368	"TG"
"176"	"SD"	"13"	19.4677055574233	0.0521641454113763	"SD"
"177"	"SD"	"13"	25.1976647838469	0.0378539270271504	"SD"
"178"	"TG"	"13"	20.0092708295391	0.0281902856931101	"TG"
"179"	"TG"	"13"	16.3237859049151	0.00590789306763861	"TG"
"180"	"SD"	"13"	24.1176170072248	0.0832491034004206	"SD"
"181"	"SD"	"13"	21.8570053654332	0.0435153020753801	"SD"
"182"	"SD"	"13"	22.7468217726677	0.0262940247638269	"SD"
"183"	"SD"	"13"	23.8620567937051	0.0231989078716824	"SD"
"184"	"TG"	"13"	17.6206841468811	0.0640791485955949	"TG"
"185"	"SD"	"13"	24.1295465500124	0.0353560466525509	"SD"
"186"	"SD"	"13"	21.7034871501307	0.041527993784033	"SD"
"187"	"SD"	"13"	24.2223768388071	0.159572503882963	"SD"
"188"	"SD"	"13"	25.9371674137731	0.0616779031175855	"SD"
"189"	"SD"	"13"	23.985595503161	0.0371601669428188	"SD"
"190"	"SD"	"13"	4.6861983729947	0.00984101285571148	"SD"
"191"	"TG"	"13"	16.1481047907183	0.0210968144568408	"TG"
"192"	"SD"	"13"	22.9195350062463	0.0361372805518613	"SD"
"193"	"SD"	"13"	24.5079684718963	0.0132001724938448	"SD"
"194"	"SD"	"13"	19.8480700985078	0.105724344127271	"SD"
"195"	"SD"	"13"	17.5953684622242	0.0414416406189594	"SD"
"196"	"SD"	"13"	25.0087142913572	0.0292537311856185	"SD"
"197"	"SD"	"13"	17.7118908974432	0.0775483443318902	"SD"
"198"	"SD"	"13"	24.2223768388071	0.159572503882963	"SD"
"199"	"ISR"	"13"	21.8753010842108	0.0563637935809171	"SD"
"200"	"SD"	"13"	21.1954338012203	0.105679826182005	"SD"
"201"	"CBD"	"13"	28.8539504851064	0.06281549952559	"CBD"
"202"	"TG"	"13"	27.4306531413909	0.051742219724356	"TG"
