profilnummer	bezeichnung	tiefe	ph_wert	carbonat_klasse	carbonat_wert	bodenart	bodenart_text	humus_klasse	humus_wert	skelett_wert	skelett_klasse	skelett_text	dichte_klasse	dichtklasse_text	gefuege1	gefuege_text	poroes	gefuege_text2	gefuege_auspraegung	zerdürckbar	gefuege1_anteil	T	U	fS	S	ton	schluff	sand
28	Ap1	10	6.25		0				5.87		199	geringer Grobanteil			470	Krümel	ja	Fein-mittel	schwach	sehr leicht		15	35	16	50			
28	Ap2	25	6.37		0				2.27		199	geringer Grobanteil			450	Subpolyeder	ja	grob	mittel	leicht		14	32	14	54			
28	Ap3	73	6.83		0				1.16		199	geringer Grobanteil			450	Subpolyeder	ja	grob	mittel	leicht		13	32	16	55			
28	Bt1	105	6.98		0				0.36		199	geringer Grobanteil			440	Polyeder	-	grob	mittel	leicht		13	42	18	45			
28	BC	125	7.01		0				0.24		399	starker grobanteil			399	Kohärentgefüge	-	-	-	sehr leicht		7	35	17	58			
29	Ap1	17	5.3		0				4.35		199	geringer Grobanteil			450	Subpolyeder	-	Mittel-fein	schwach	sehr leicht		19	38	14	43			
29	Ap2	60	6.4		0				2.77		199	geringer Grobanteil			450	Subpolyeder	-	Mittel-grob	mittel	sehr leicht		18	37	10	45			
29	Ap3	90	6.9		0				0.79		199	geringer Grobanteil			420	Prismen	-	mittel	mäßig	leicht		18	37	18	45			
29	B	130	7.01		0				0.62		199	Sehr geringer Grobanteil			420	Prismen	-	Mittel-grob	mäßig	leicht		21	44	13	35			
30	Ap1	15	6.04		0				4.25		199	geringer Grobanteil			450	Subpolyeder	ja	mittel	schwach	sehr leicht		11	26	13	63			
30	Ap2	38	6.07		0				1.86		299	mittlerer Grobanteil			450	Subpolyeder	ja	Mittel-grob	schwach	sehr leicht		10	25	9	65			
30	E	65	6.18		0				0.17		299	mittlerer Grobanteil			299	Einzelkorn	ja	-	-	-		8	8	3	84			
30	2Bt	110	6.19		0				0.35		499	sehr starker Grobanteil			399	Kohärentgefüge	ja	-	-	-		18	13	4	69			
31	Ap1	60	6.5		0				2.51		299	mittlerer Grobanteil			450	Subpolyeder	ja	Mittel-fein	-	sehr leicht		11	26	13	63			
31	BC	78	7.31		0				0.17		299	mittlerer Grobanteil			399	Kohärentgefüge	-	-	-	leicht		7	33	16	60			
31	C	115	7.94		1				0.04		399	starker grobanteil			399	Kohärentgefüge	-	-	-	leicht		5	30	11	65			
32	Ap	20	7.25		52				3.77		399	starker grobanteil			470	Krümel	ja	Fein-mittel	schwach	leicht		13	35	14	52			
32	C	50	7.61		61				1.02		399	starker grobanteil			480	Bröckel	ja	Grob-mittel	-	leicht		13	35	10	52			
32	Ab1	75	7.56		30				2.18		399	starker grobanteil			450	Subpolyeder und Bröckel	ja	Mittel-fein	schwach	leicht	50	16	39	11	45			
32	Ab2	90	7.65		56				1.31		399	starker grobanteil			480	Bröckel	ja	Mittel-fein	-	leicht		13	33	12	54			
32	C	140	7.84		68				0.42		499	sehr starker Grobanteil			399	Kohärentgefüge	-	-	-	sehr schwer		12	33	11	55			
33	Ap1	15	6.81		19				9.31		199	geringer Grobanteil			470	Krümel	ja	Mittel-fein	deutlich	leicht		22	52	9	26			
33	Ap2	35	6.98		20				7.02		199	geringer Grobanteil			470	Krümel	ja	mittel	deutlich	leicht		28	51	6	21			
33	B	62	7.44		29				1.61		299	mittlerer Grobanteil			420	Prismen	ja	Grob-mittel	deutlich	Mäßig-leicht		28	53	9	19			
33	CB	85	7.58		29				0.78		299	mittlerer Grobanteil			420	Prismen	-	-	schwach	schwer		24	43	18	33			
33	C	128	7.78		57				0.22		299	mittlerer Grobanteil			399	Kohärentgefüge	-	-	-	leicht		14	45	11	41			
33	2C	165	7.63		4				0.18		199	Sehr geringer Grobanteil			399	Kohärentgefüge	-	-	-	sehr leicht		8	39	30	53			
34	Ap1	12	5.75		0				1.89		299	mittlerer Grobanteil			440	Polyeder	ja	fein	schwach	leicht		11	34	17	55			
34	Ap2	38	5.42		0				0.63		299	mittlerer Grobanteil			450	Subpolyeder	ja	Grob-mittel	Mäßig-schwach	leicht		12	36	15	52			
34	Bt1	90	5.67		0				0.16		499	sehr starker Grobanteil			440	Polyeder	-	Grob-mittel	stark	Mäßig-leicht		9	30	15	61			
34	2Bt2	135	5.72		0				0.26		599	skelettboden			450	Subpolyeder und Einzelkorn	-	mittel	schwach	leicht	50	13	15	5	72			
35	Ap1	13	7.31		3				1.65		199	Sehr geringer Grobanteil			299	Einzelkorn	-	-	-	-		5	25	22	70			
35	Ap2	38	7.49		4				0.9		199	Sehr geringer Grobanteil			299	Einzelkorn	-	-	-	-		5	29	21	66			
35	B	85	7.64		3				0.42		199	Sehr geringer Grobanteil			450	Subpolyeder und Einzelkorn	-	-	sehr schwach	-	50	4	27	21	69			
35	BC	105	7.83		3				0.31		199	Sehr geringer Grobanteil			450	Subpolyeder	-	Grob-mittel	-	-		5	25	19	70			
35	Cbt	135	7.94		1				0.02		199	Sehr geringer Grobanteil			399	Kohärentgefüge	-	-	-	leicht		3	22	15	75			
36	Ap	80	7.46		43				1.22		299	mittlerer Grobanteil			440	Polyeder	ja	Mittel-fein	stark	Mäßig-leicht		24	47	12	29			
36	BC	110	7.64		59				0.77		299	mittlerer Grobanteil			440	Polyeder	ja	Mittel-grob	mäßig	leicht		19	54	11	27			
37	Ap1	21	6.25		1				2.13		299	mittlerer Grobanteil			440	Polyeder	-	Fein-sehr fein	schwach	sehr leicht		12	28	14	60			
