profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
15	10_U	Ahb	30					7.1	sU - sandiger Schluff					anmoorig bzw. äußerst humos (15-30%)		60.0	sehr hoch (40 bis <80%)		sehr locker		schwach kalkhaltig (0.5 bis <1.5%)		Krümel	80																		22.5	60.0	Ld1	1.0	120.0	9.0	27.0	44.0	67.0	7.0	44.0	88.0	300.0	53.0	53.0	95.0	
15	10_U	AhCv1	65					7.3	sU - sandiger Schluff					sehr stark humos (8-15%)		90.0	vorwiegend (über 80%)		locker		schwach kalkhaltig (0.5 bis <1.5%)		Subpolyeder	90																		12.5	90.0	Ld2	1.3	46.0	3.0	5.8	11.0	17.0	9.0	11.0	17.0	300.0	33.0	33.0	95.0	
15	10_U	AhCv2	90					7.4	sL - sandiger Lehm					mittel humos (2-4%)		90.0	vorwiegend (über 80%)		locker		stark kalkhaltig (>5%)		Subpolyeder	100																		3.0	90.0	Ld2	1.3	33.0	7.0	1.0	6.0	11.0	6.0	6.0	14.0	300.0	19.0	19.0	95.0	
16	11_U	Ahb1	3					6.2	U - Schluff					sehr stark humos (8-15%)		5.0	gering (0 bis <10%)		locker		kalkfrei bis kalkarm (<0.5%)		Krümel	50																		12.5	5.0	Ld2	1.3	37.0	4.0	4.6	9.0	14.0	4.0	9.0	14.0	300.0	35.0	32.0	80.0	
16	11_U	Ahb2	20					6.8	lU - lehmiger Schluff					sehr stark humos (8-15%)		20.0	mäßig (10 bis <20%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	50																		12.5	20.0	Ld2	1.3	177.0	35.0	22.1	39.0	75.0	18.0	39.0	67.0	29.0	39.0	35.0	90.0	
16	11_U	BvCv	35					7.2	lU - lehmiger Schluff					humusfrei (0%)		75.0	sehr hoch (40 bis <80%)		mittel		mäßig kalkhaltig (1.5 bis 5%)		Subpolyeder	100																		0.0	75.0	Ld3	1.55	58.0	12.0	0.0	7.0	14.0	9.0	7.0	16.0	300.0	14.0	14.0	95.0	
16	11_U	(II)Cv	50					7.2	lU - lehmiger Schluff					stark humos (4-8%)		80.0	sehr hoch (40 bis <80%)		mittel		stark kalkhaltig (>5%)		Subpolyeder	100																		6.0	80.0	Ld3	1.55	47.0	9.0	2.8	7.0	14.0	8.0	7.0	17.0	300.0	26.0	26.0	95.0	
17	12_U	Ahb1	18					7.3	U - Schluff					sehr stark humos (8-15%)		2.0	gering (0 bis <10%)		sehr locker		stark kalkhaltig (>5%)		Einzelkorn	50																		12.5	2.0	Ld1	1.0	176.0	18.0	22.0	54.0	86.0	25.0	54.0	84.0	27.0	35.0	35.0	95.0	
17	12_U	Ahb2	52					7.4	U - Schluff					stark humos (4-8%)		2.0	gering (0 bis <10%)		sehr locker		stark kalkhaltig (>5%)		Einzelkorn	70																		6.0	2.0	Ld1	1.0	333.0	33.0	20.0	98.0	155.0	37.0	98.0	197.0	27.0	22.0	22.0	95.0	
17	12_U	IICu	95					7.5	uL - schluffiger Lehm					humusfrei (0%)		90.0	vorwiegend (über 80%)		locker		stark kalkhaltig (>5%)		Kohärentgefüge	100																		0.0	90.0	Ld2	1.3	56.0	17.0	0.0	9.0	20.0	11.0	9.0	23.0	300.0	18.0	18.0	100.0	
18	13_U	Ah	6					4.2	sU - sandiger Schluff					humusfrei (0%)		0.0	kein (0%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	60																		0.0	0.0	Ld1	1.0	60.0	5.0	0.0	16.0	23.0	5.0	16.0	29.0	32.0	8.0	4.0	30.0	
18	13_U	AhCv	22					3.9	sU - sandiger Schluff					stark humos (4-8%)		5.0	gering (0 bis <10%)		mittel		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	60																		6.0	5.0	Ld3	1.55	236.0	18.0	14.2	41.0	62.0	12.0	41.0	77.0	11.0	20.0	6.0	20.0	
18	13_U	Cv	33					4.1	sU - sandiger Schluff					stark humos (4-8%)		90.0	vorwiegend (über 80%)		dicht		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	60																		6.0	90.0	Ld4	1.8	20.0	2.0	1.2	3.0	4.0	3.0	3.0	5.0	300.0	20.0	10.0	20.0	
