profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
385	6	B	75					7.37	sL - sandiger Lehm						1.01		sehr hoch (40 bis <80%)		mittel	28.0			Subpolyeder	100									21.0	43.0	36.0							1.01	60.0	Ld3	1.55	248.0	5208.0	2.5	28.0	58.0	11.0	28.0	65.0	300.0	15.0	15.0	95.0	
385	6	C	135					7.61	lS - lehmiger Sand						0.5		sehr hoch (40 bis <80%)		locker	57.0			Kohärentgefüge	100									11.0	44.0	45.0							0.5	60.0	Ld2	1.3	312.0	3432.0	1.6	60.0	85.0	24.0	60.0	109.0	300.0	9.0	9.0	100.0	
386	7	Ap1	10					7.22	sL - sandiger Lehm						3.96		mäßig (10 bis <20%)		locker	19.0			Subpolyeder	50	Krümel								23.0	46.0	31.0							3.96	15.0	Ld2	1.3	111.0	2553.0	4.4	20.0	38.0	9.0	20.0	42.0	300.0	22.0	22.0	95.0	
386	7	Ap2	32					7.37	L - Lehm						1.84		mäßig (10 bis <20%)		dicht	15.0			Polyeder	100									26.0	46.0	28.0							1.84	15.0	Ld4	1.8	337.0	8762.0	6.2	22.0	70.0	7.0	22.0	72.0	5.0	19.0	19.0	95.0	
386	7	B	70					7.44	sL - sandiger Lehm						0.82		hoch (20 bis <40%)		dicht	34.0			Polyeder	100									22.0	45.0	33.0							0.82	30.0	Ld4	1.8	479.0	10538.0	3.9	39.0	81.0	13.0	39.0	94.0	8.0	15.0	15.0	95.0	
386	7	BC	95					7.59	lS - lehmiger Sand						0.77		hoch (20 bis <40%)		mittel	46.0			Polyeder	100									14.0	47.0	39.0							0.77	30.0	Ld3	1.55	271.0	3794.0	2.1	37.0	53.0	13.0	37.0	67.0	20.0	11.0	11.0	100.0	
386	7	C	130					7.75	lS - lehmiger Sand						0.2		hoch (20 bis <40%)		locker	67.0			Kohärentgefüge	100									9.0	46.0	45.0							0.2	30.0	Ld2	1.3	319.0	2871.0	0.6	61.0	87.0	25.0	61.0	111.0	45.0	7.0	7.0	100.0	
387	8	Ap1	20					7.3	sL - sandiger Lehm						2.56		mäßig (10 bis <20%)		locker	12.0			Subpolyeder	100									23.0	45.0	32.0							2.56	15.0	Ld2	1.3	221.0	5083.0	5.7	40.0	77.0	17.0	40.0	84.0	300.0	19.0	19.0	95.0	
387	8	Ap2	50					7.39	sL - sandiger Lehm						1.93		mäßig (10 bis <20%)		mittel	16.0			Subpolyeder	100									23.0	45.0	32.0							1.93	15.0	Ld3	1.55	395.0	9085.0	7.6	45.0	93.0	18.0	45.0	103.0	16.0	18.0	18.0	95.0	
387	8	BC	85					7.53	sL - sandiger Lehm						1.24		hoch (20 bis <40%)		mittel	24.0			Subpolyeder	100									22.0	48.0	30.0							1.24	30.0	Ld3	1.55	380.0	8360.0	4.7	43.0	89.0	17.0	43.0	99.0	16.0	16.0	16.0	100.0	
387	8	C	180					7.7	lS - lehmiger Sand						0.32		hoch (20 bis <40%)		locker	51.0			Kohärentgefüge	100									10.0	53.0	37.0							0.32	30.0	Ld2	1.3	864.0	8640.0	2.8	166.0	236.0	67.0	166.0	303.0	45.0	8.0	8.0	100.0	
388	9	Ap1	30					7.32	sL - sandiger Lehm						4.44		gering (0 bis <10%)		locker	20.0			Subpolyeder	100									20.0	44.0	36.0							4.44	5.0	Ld2	1.3	371.0	7420.0	16.5	74.0	145.0	33.0	107.0	141.0	300.0	21.0	21.0	95.0	
388	9	Ap2	70					7.46	sL - sandiger Lehm						2.27		gering (0 bis <10%)		locker	23.0			Subpolyeder	100									22.0	50.0	28.0							2.27	5.0	Ld2	1.3	494.0	10868.0	11.2	89.0	171.0	38.0	127.0	188.0	300.0	18.0	18.0	95.0	
388	9	B	125					7.76	lU - lehmiger Schluff						0.35		gering (0 bis <10%)		dicht	49.0			Prismen	100									18.0	71.0	11.0							0.35	5.0	Ld4	1.8	941.0	16938.0	3.3	89.0	172.0	18.0	107.0	191.0	5.0	13.0	13.0	100.0	
389	10	Ap1	32					7.13	lS - lehmiger Sand						2.22		mäßig (10 bis <20%)		locker	14.0			Subpolyeder	100									9.0	31.0	60.0							2.22	15.0	Ld2	1.3	354.0	3186.0	7.9	71.0	106.0	30.0	71.0	124.0	300.0	10.0	10.0	95.0	
389	10	Ap2	90					7.46	lS - lehmiger Sand						0.74		mäßig (10 bis <20%)		mittel	15.0			Subpolyeder	100									9.0	29.0	62.0							0.74	15.0	Ld3	1.55	764.0	6876.0	5.7	104.0	150.0	37.0	104.0	187.0	20.0	7.0	7.0	95.0	
389	10	C	130					7.71	lS - lehmiger Sand						0.06		mäßig (10 bis <20%)		dicht	12.0			Kohärentgefüge	100									12.0	35.0	53.0							0.06	15.0	Ld4	1.8	612.0	7344.0	0.4	61.0	94.0	17.0	61.0	110.0	11.0	8.0	8.0	100.0	
390	11	Ap1	20					7.12	lS - lehmiger Sand						4.04		mäßig (10 bis <20%)		locker	6.0			Subpolyeder	100									14.0	35.0	51.0							4.04	15.0	Ld2	1.3	221.0	3094.0	8.9	48.0	74.0	20.0	68.0	77.0	300.0	17.0	17.0	95.0	
390	11	B	90					7.39	sL - sandiger Lehm						0.74		mäßig (10 bis <20%)		mittel	3.0			Subpolyeder	100									17.0	32.0	51.0							0.74	15.0	Ld3	1.55	922.0	15674.0	6.8	101.0	202.0	39.0	140.0	241.0	16.0	12.0	12.0	95.0	
391	12	Ap1	20					7.25	sL - sandiger Lehm						3.34		hoch (20 bis <40%)		mittel	62.0			Subpolyeder	50	Bröckel (<50mm)								15.0	43.0	42.0							3.34	30.0	Ld3	1.55	217.0	3255.0	7.2	26.0	53.0	11.0	37.0	57.0	16.0	16.0	16.0	95.0	
