profilnummer	datum	kartierer	rechtswert	hochwert	seehoehe	exposition_wert	exposition_klasse	neigungmakro	neigungmikro	hangneigung	gruendigkeit_wert	gruendigkeit_klasse	entwicklungstiefe	profillaenge	profilbreite	hoehenstufe	witterung	makrorelief	mesorelief	woelbung	woelbungsstaerke	mikrorelief	mikrorelief_b	geologietext	ausgangsmaterial	abzufluss	flurabstand	grundwasser	hangwasser	hangwasser_b	stauwasser	grundstauwasser	oekofeuchte	lateralfliess	ol_maecht	ol_lagerung	of_maecht	of_lagerung	oh_maecht	oh_lagerung	m_maecht	torf_zersetzung	torf_holz	torf_moos	torf_kraut	torf_minerogen	organik_text	humusform	anthropogen	basenreichtum	karbonatgehalt	locker_stein	locker_kies_grob	locker_kies_fein	locker_feinerde	landnutzung	landnutzung_text	vegetation	vegetation_text	verdichtung	gefaehrdung	bodentyp_text	bodentyp_oe	versiegelungsgrad	vegetationsgrad	vegfrei	moosschicht	krautschicht	strauchschicht	baumschicht	fels	bloeckesteine	offenerboden	naturarchiv	kulturarchiv	drainage	bewaesserung	erosionsschutz	erosionsgrad	erosionsausmass	wurzeln10	wurzeln20	wurzeln30	wurzeln40	wurzeln50	durchgaengigkeit	matrixaustausch	zeigerarten	sonstige	bodentyp	erosion	koernigkeit	horizonte	organik	wurzel	Sx01_FBges	Sx02_TMges	Sx03_HMges	Sx04_nFKges	Sx04a_nFKwe	Sx05_FKges	Sx05a_FKwe	Sx06_LKges	Sx06a_LKwe	Sx07_LKoben	Sx08_WSVges	Sx09_WSVwe	Sx10_kfmin	Sx11_kfave	Sx12_We	Sx13_KAKges	Sx14_KAKWe	Sx15_MbWe	Leben_Tr	Leben_Fe	Leben_Org	Leben_Kult	Retent_ave	Retent_min	Retent_stark	GWneu	Naehrstoff	CO2_Senke	FiltPuff	Transform	FiltPuff_Org	FiltPuff_Nit	Puff_sauer	Arc_Nat	Arc_Kult	dateeval	template	templatename	
29			11.0	46.0					0	LW-eben	130					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														555|556|557|558			1874.0	35709.0	34.0	231.0	231.0	463.0	463.0	96.0	96.0	96.0	327.0	327.0	16.0	18.0	130	25985.0	25985.0	22966.0	5	2	1	4	2	2	1	2	1	3	1	1	4	1	2	5	5	2017-12-16			
30			11.0	46.0					15	LW-hängig	110					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							carbonatfreie Braunerde																														559|560|561|562			971.0	11171.0	14.0	167.0	167.0	261.0	261.0	96.0	96.0	81.0	167.0	167.0	196.0	265.0	110	8472.0	8472.0	6998.0	4	3	2	4	1	1	1	5	1	4	3	3	5	2	3	5	5	2017-12-16			
31			11.0	46.0					3	LW-schwach geneigt	115					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														563|564|565			1301.0	10957.0	17.0	219.0	219.0	325.0	325.0	86.0	86.0	86.0	305.0	305.0	20.0	39.0	115	10319.0	10319.0	10115.0	4	3	2	3	2	2	1	2	1	4	1	2	5	1	2	5	5	2017-12-16			
32			11.0	46.0					25	LW-stark hängig	140					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														566|567|568|569|570			1342.0	17859.0	20.0	172.0	172.0	278.0	278.0	63.0	63.0	45.0	172.0	172.0	16.0	35.0	140	15630.0	15630.0	15484.0	4	3	1	5	2	3	1	3	1	3	1	2	5	1	1	5	5	2017-12-16			
33			11.0	46.0					4	LW-schwach geneigt	165					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							carbonathaltige Braunerde																														571|572|573|574|575|576			2164.0	40996.0	45.0	316.0	316.0	579.0	579.0	124.0	124.0	62.0	440.0	440.0	8.0	22.0	165	33902.0	33902.0	33484.0	5	2	1	4	2	3	1	1	1	3	1	1	5	1	1	5	5	2017-12-16			
34			11.0	46.0					10	LW-leicht hängig	130					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							carbonatfreie Braunerde																														577|578|579|580			868.0	9387.0	5.0	125.0	124.0	182.0	180.0	54.0	53.0	27.0	125.0	124.0	20.0	71.0	130	5152.0	5105.0	3918.0	4	4	2	4	2	4	1	4	3	5	4	3	5	3	3	5	5	2017-12-16			
35			11.0	46.0					20	LW-hängig	130					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							carbonathaltige Braunerde																														581|582|583|584|585			1988.0	8364.0	10.0	261.0	254.0	361.0	352.0	118.0	110.0	72.0	261.0	254.0	20.0	25.0	130	9806.0	9585.0	9408.0	5	2	2	5	2	2	1	2	1	4	1	3	5	1	1	5	5	2017-12-16			
36			11.0	46.0					4	LW-schwach geneigt	140					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														586|587			1449.0	32801.0	16.0	167.0	167.0	340.0	340.0	63.0	63.0	63.0	230.0	230.0	14.0	15.0	140	23448.0	23448.0	22552.0	4	3	1	4	3	3	1	1	1	4	1	3	5	1	1	5	5	2017-12-16			
37			11.0	46.0					7	LW-leicht hängig	130					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														588|589|590|591			1282.0	19018.0	9.0	169.0	162.0	292.0	278.0	67.0	64.0	50.0	169.0	162.0	16.0	38.0	130	11355.0	10797.0	10398.0	4	3	2	4	2	3	1	3	1	5	1	3	5	1	1	5	5	2017-12-16			
38			11.0	46.0					12	LW-hängig	150					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														592|593|594|595			2301.0	16014.0	13.0	322.0	300.0	456.0	427.0	109.0	102.0	109.0	322.0	300.0	20.0	20.0	150	10411.0	10117.0	6495.0	5	2	2	5	2	2	1	2	1	4	1	3	5	1	3	5	5	2017-12-16			
39			11.0	46.0					14	LW-hängig	160					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														596|597|598			2046.0	11770.0	12.0	332.0	332.0	479.0	479.0	127.0	127.0	127.0	332.0	332.0	20.0	36.0	160	10144.0	10144.0	9599.0	5	2	2	4	2	2	1	2	1	4	1	3	5	1	1	5	5	2017-12-16			
